H;penstroke-edit;2;caveat_edit_subset fixing.cdr;464;564;0
G;0;0000;hash
S;0;1;198.01;374.69
S;0;1;197.07;377.54
S;0;1;196.15;380.40
S;0;1;195.25;383.26
S;0;1;194.37;386.13
S;0;1;193.51;389.01
S;0;1;192.67;391.89
S;0;1;191.85;394.78
S;0;1;191.06;397.68
S;0;1;190.30;400.58
S;0;1;189.57;403.50
S;0;1;188.87;406.42
S;0;1;188.20;409.34
S;0;1;187.56;412.28
S;0;1;186.96;415.22
S;0;1;186.40;418.17
S;0;1;185.87;421.13
S;0;1;185.39;424.09
S;0;1;184.95;427.06
S;0;1;184.56;430.04
S;0;1;184.21;433.02
S;0;1;183.91;436.01
S;0;1;183.67;439.00
S;0;1;183.47;441.99
S;0;1;183.33;444.99
S;0;1;183.24;448.00
S;0;1;183.22;451.00
S;0;1;183.25;454.00
S;0;0;207.42;116.39
S;0;0;206.67;119.29
S;0;0;205.88;122.18
S;0;0;205.07;125.07
S;0;0;204.25;127.94
S;0;0;203.39;130.82
S;0;0;202.52;133.68
S;0;0;201.63;136.54
S;0;0;200.72;139.40
S;0;0;199.80;142.25
S;0;0;198.86;145.09
S;0;0;197.90;147.93
S;0;0;196.93;150.76
S;0;0;195.95;153.59
S;0;0;194.95;156.42
S;0;0;193.94;159.24
S;0;0;192.92;162.05
S;0;0;191.89;164.87
S;0;0;190.85;167.68
S;0;0;189.81;170.48
S;0;0;188.75;173.29
S;0;0;187.69;176.09
S;0;0;186.63;178.89
S;0;0;185.56;181.69
S;0;0;184.48;184.48
S;0;0;183.41;187.28
S;0;0;182.33;190.07
S;0;0;181.26;192.87
S;0;0;180.18;195.67
S;0;0;179.11;198.46
S;0;0;178.05;201.26
S;0;0;177.00;204.07
S;0;0;175.95;206.88
S;0;0;174.91;209.68
S;0;0;173.83;212.48
S;0;0;172.73;215.26
S;0;0;171.60;218.04
S;0;0;170.45;220.80
S;0;0;169.28;223.56
S;0;0;168.10;226.31
S;0;0;166.90;229.06
S;0;0;165.70;231.80
S;0;0;164.49;234.54
S;0;0;163.28;237.29
S;0;0;162.07;240.03
S;0;0;160.87;242.77
S;0;0;159.67;245.51
S;0;0;158.49;248.27
S;0;0;157.31;251.02
S;0;0;156.16;253.79
S;0;0;155.03;256.56
S;0;0;153.92;259.34
S;0;0;152.83;262.13
S;0;0;151.78;264.94
S;0;0;150.76;267.75
S;0;0;149.75;270.57
S;0;0;148.75;273.40
S;0;0;147.77;276.23
S;0;0;146.79;279.06
S;0;0;145.83;281.90
S;0;0;144.89;284.74
S;0;0;143.95;287.59
S;0;0;143.02;290.43
S;0;0;142.09;293.28
S;0;0;141.18;296.13
S;0;0;140.27;298.99
S;0;0;139.36;301.84
S;0;0;138.46;304.70
S;0;0;137.56;307.56
S;0;0;136.67;310.42
S;0;0;135.78;313.28
S;0;0;134.88;316.14
S;0;0;133.99;319.00
S;0;0;133.10;321.85
S;0;0;132.20;324.71
S;0;0;131.30;327.57
S;0;0;130.40;330.43
S;0;0;129.49;333.28
S;0;0;128.58;336.13
S;0;0;127.66;338.98
S;0;0;126.73;341.83
S;0;0;125.79;344.68
S;0;0;124.85;347.52
S;0;0;123.89;350.36
S;0;0;122.92;353.19
S;0;0;121.94;356.02
S;0;0;120.95;358.85
S;0;0;119.95;361.67
S;0;0;118.94;364.49
S;0;0;117.92;367.31
S;0;0;116.90;370.13
S;0;0;115.88;372.94
S;0;0;114.86;375.76
S;0;0;113.85;378.58
S;0;0;112.85;381.40
S;0;0;111.85;384.23
S;0;0;110.87;387.06
S;0;0;109.90;389.89
S;0;0;108.95;392.73
S;0;0;108.02;395.58
S;0;0;107.11;398.43
S;0;0;106.23;401.30
S;0;0;105.38;404.17
S;0;0;104.56;407.05
S;0;0;103.77;409.94
S;0;0;103.02;412.84
S;0;0;102.30;415.75
S;0;0;101.63;418.67
S;0;0;101.01;421.60
S;0;0;100.43;424.54
S;0;0;99.91;427.49
S;0;0;99.44;430.44
S;0;0;99.03;433.41
S;0;0;98.67;436.39
S;0;0;98.38;439.37
S;0;0;98.16;442.35
S;0;0;98.01;445.35
S;0;0;97.92;448.34
S;0;0;97.91;451.34
S;0;0;97.97;454.33
G;1;0000;dollar
S;1;0;246.98;201.52
S;1;0;244.40;200.01
S;1;0;241.71;198.69
S;1;0;238.95;197.53
S;1;0;236.13;196.55
S;1;0;233.25;195.72
S;1;0;230.33;195.05
S;1;0;227.39;194.53
S;1;0;224.42;194.15
S;1;0;221.44;193.90
S;1;0;218.45;193.78
S;1;0;215.46;193.78
S;1;0;212.47;193.90
S;1;0;209.48;194.13
S;1;0;206.51;194.47
S;1;0;203.55;194.92
