H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;1;1;189.34;287.47
S;1;1;192.34;287.30
S;1;1;195.33;287.44
S;1;1;198.28;287.97
S;1;1;201.11;288.96
S;1;1;203.71;290.46
S;1;1;205.96;292.43
S;1;1;207.79;294.80
S;1;1;209.18;297.46
S;1;1;210.17;300.29
S;1;1;210.80;303.22
S;1;1;211.13;306.20
S;1;1;211.20;309.20
S;1;1;211.04;312.20
S;1;1;210.68;315.18
S;1;1;210.13;318.13
S;1;1;209.41;321.04
S;1;1;208.51;323.90
S;1;1;207.44;326.70
S;1;1;206.18;329.43
S;1;1;204.76;332.07
S;1;1;203.22;334.64
S;1;1;201.57;337.15
S;1;1;199.84;339.60
S;1;1;198.04;342.00
S;1;1;196.16;344.34
S;1;1;194.23;346.64
S;1;1;192.25;348.89
S;1;1;190.22;351.10
S;1;1;188.14;353.26
S;1;1;186.02;355.38
S;1;1;183.86;357.47
S;1;1;181.66;359.51
S;1;1;179.42;361.51
S;1;1;177.15;363.47
S;1;1;174.85;365.39
S;1;1;172.50;367.26
S;1;1;170.13;369.10
S;1;1;167.72;370.89
S;1;1;165.28;372.63
S;1;1;162.80;374.32
S;1;1;160.29;375.97
S;1;1;157.75;377.56
S;1;1;155.17;379.09
S;1;1;152.56;380.57
S;1;1;149.91;381.98
S;1;1;147.23;383.33
S;1;1;144.51;384.60
S;1;1;141.76;385.79
S;1;1;138.96;386.89
S;1;1;136.14;387.89
S;1;1;133.27;388.79
S;1;1;130.38;389.57
S;1;1;127.45;390.22
S;1;1;124.49;390.72
S;1;1;121.51;391.05
S;1;1;118.51;391.20
S;1;1;115.51;391.14
S;1;1;112.53;390.85
S;1;1;109.58;390.32
S;1;1;106.69;389.51
S;1;1;103.89;388.43
S;1;0;170.67;160.05
S;1;0;169.35;162.77
S;1;0;168.04;165.49
S;1;0;166.73;168.21
S;1;0;165.44;170.94
S;1;0;164.16;173.67
S;1;0;162.88;176.41
S;1;0;161.62;179.15
S;1;0;160.37;181.90
S;1;0;159.13;184.65
S;1;0;157.90;187.41
